month,address,is_warning,reason
3,Sokeritori (tori tai aukio) 0,0,0401
3,Kahvikuja 3,0,0401
3,Kahvipavunkuja 6,0,1100
3,Jauhajankuja 2,0,1100
3,Jauhajankuja 2,0,1100
3,Jauhajankuja 2,0,1100
3,Iiluodonpiha 1,0,0905
3,Iiluodonpiha 2,0,0905
3,Iiluodonpiha 1,0,0905
3,Kahvikatu 1,0,0905
3,Jauhajankuja 2,0,0905
3,Aurinkotuulenkatu 19,0,0905
3,Aurinkotuulenkatu 19,0,0905
3,Aurinkotuulenkatu 3,0,0400 2200
3,Hellekuja 1,0,2301
3,Aurinkotuulenkatu 16,0,2301
3,Aurinkotuulenkatu 16,0,0905
3,Kahvipavunkuja 6,0,1100
3,Sokeritori (tori tai aukio) 0,0,0401
3,Sokeritori (tori tai aukio) 0,0,0401
3,Kahvikatu 1,0,0401
3,Kahvikuja 3,1,0401
3,Sokeritori (tori tai aukio) 0,0,0401
3,Kahvipavunkuja 4,0,1100
3,Kahvikuja 3,0,0401
3,Kahvikuja 3,0,0401
3,Iiluodontie 1,0,1501
3,Jauhajankuja 1,0,1100
3,Vaniljakuja 1a,0,1501
3,Hellekuja 2,0,2301
3,Bertha Pauligin katu 6,0,0401
3,Sokeritori (tori tai aukio) 0,0,0400
3,Sokeritori (tori tai aukio) 0,0,1501
3,Iiluodontie 1,1,1501
3,Iiluodontie 1,0,1501
3,Jauhajankuja 2,0,1100
3,Jauhajankuja 2,0,1100
3,Bertha Pauligin katu 6,0,0401
3,Solvikinkatu 3,0,0905
3,Solvikinkatu 3,0,2301
3,Solvikinkatu 5,0,2301
3,Solvikinkatu 6,0,2301
3,Solvikinkatu 6,0,2301
3,Solvikinkatu 6,0,0905
3,Jauhajankuja 2,0,1100
3,Kahvipavunkuja 3,0,1100
3,Jauhajankuja 2,0,1100
3,Iiluodontie 1,0,1504
3,Sokeritori (tori tai aukio) 0,0,0400
3,Iiluodontie 1,0,1501
3,Iiluodontie 1,0,1504
3,Kahvipavunkuja 3,0,1100
3,Kahvipavunkuja 3,0,1100
3,Kahvipavunkuja 3,0,1100
3,Kahvikuja 3,0,0401
3,Kahvikuja 3,0,0401
3,Kahvikuja 3,0,0401
3,Kahvikuja 3,0,0401
3,Kahvipavunkuja 6,0,1100
3,Jauhajankuja 1,0,1100
3,Jauhajankuja 2,0,1100
3,Sumukuja 1,0,0401
3,Leikosaarentie 26,0,1503
3,Aurinkotuulenkatu 1,0,0905
3,Aurinkotuulenkatu 1,0,0905
3,Aurinkotuulenkatu 1,0,0905
3,Aurinkotuulenkatu 6,0,0905
3,Aurinkotuulenkatu 8,0,0905
3,Aurinkotuulenkatu 14,0,2301
3,Aurinkotuulenkatu 14,0,0905
3,Aurinkotuulenkatu 16,0,0905
3,Aurinkotuulenkatu 20,0,2301
3,Hellekuja 2,0,0905
3,Hellekuja 1,0,2301
3,Iiluodontie 1,0,1500
3,Leikosaarentie 32,0,1500
3,Kahvipavunkuja 4,0,1100
3,Jauhajankuja 2,0,1100
3,Kahvipavunkuja 4,0,1100
3,Aurinkotuulenkatu 20,0,2301
3,Aurinkotuulenkatu 14,0,0905
3,Sokeritori 1,0,0400
3,Iiluodontie 1,0,1504
3,Kahvipavunkuja 4,0,1100
3,Kahvipavunkuja 4,0,0400
3,Aurinkotuulenkatu 14,1,0905
3,Sokeritori (tori tai aukio) 0,0,0401
3,Bertha Pauligin katu 6,0,0401
3,Sokeritori (tori tai aukio) 0,0,0401
3,Kahvikuja 3,0,0401
3,Bertha Pauligin katu 6,0,0401
3,Kahvipavunkuja 10,0,1100
3,Jauhajankuja 2,1,1100
3,Solvikinkatu 2,1,2001
2,Kahvikuja 3,0,0400
2,Kahvikuja 3,0,0401
2,Kahvikuja 3,0,0401
2,Sokeritori (tori tai aukio) 0,0,0401
2,Sokeritori (tori tai aukio) 0,0,1501
2,Kauniinilmankuja 3,0,2301
2,Kauniinilmankuja 3,0,2301
2,Kauniinilmankuja 3,0,0905
2,Kahvikatu 1,0,0401
2,Kahvikatu 1,0,0401
2,Kahvikuja 3,0,0401
2,Kahvipavunkuja 3,0,1100
2,Sumukuja 2,0,0401
2,Kauniinilmankuja 3,0,0401 2200
2,Bertha Pauligin katu 6,0,0401
2,Bertha Pauligin katu 6,0,0401
2,Leikosaarentie 32,0,2103 1503
2,Bertha Pauligin katu 4,0,1501
2,Jauhajankuja 2 ,0,1100
2,Jauhajankuja 2 ,0,1100
2,Jauhajankuja 2 ,0,1100
2,Kahvipavunkuja 3 ,0,0400
2,Jauhajankuja 2 ,0,1100
2,Jauhajankuja 2 ,0,2300
2,Kahvikuja 3,0,0401
2,Bertha Pauligin katu 4,0,0400
2,Iiluodontie 1,0,1504
2,Iiluodontie 1,0,1504
2,Kahvikuja 3,0,0400
2,Iiluodontie 1,0,1504
2,Iiluodontie 1,0,1504
2,Kahvikuja 3,0,0400
2,Sokeritori (tori tai aukio) 0,0,0400
2,Gustav Pauligin katu 6,0,0401
2,Kahvikatu 1,0,0401
2,Jauhajankuja 2,0,1100
2,Jauhajankuja 2,0,1100
2,Jauhajankuja 2,0,1100
2,Jauhajankuja 2,0,1100
1,Hellekuja 2,0,0905
1,Hellekuja 2,0,2301
1,Kahvipavunkuja 3,0,1100
1,Kahvipavunkuja 3,0,1100
1,Gustav Pauligin katu 20,0,0905
1,Solvikinkatu 6,0,0900
1,Gustav Pauligin katu 8,0,1506
1,Hellekuja 2,0,0905
1,Hellekuja 2,0,2301
1,Kahvipavunkuja 3,0,1100
1,Iiluodontie 1,0,1501
1,Iiluodontie 1,0,1501
1,Jauhajankuja 1,0,1100
1,Jauhajankuja 2,0,1100
1,Jauhajankuja 2,0,1100 0401
1,Bertha Pauligin katu 4,0,0400
1,Jauhajankuja 2,0,1100
1,Jauhajankuja 2,0,1100
1,Aurinkotuulenkatu 8,0,0900 3000
1,Kahvikatu 1,0,0905
1,Kahvikatu 1,0,2301
1,Solvikinkatu 6,0,2301
1,Solvikinkatu 6,0,2301
1,Solvikinkuja 4,0,2301
1,Aurinkotuulenkatu 17,0,2301
1,Aurinkotuulenkatu 14,0,2301
1,Aurinkotuulenkatu 7,0,0905
1,Aurinkotuulenkatu 7,0,0905
1,Aurinkotuulenkatu 7,0,0900
1,Aurinkotuulenkatu 5,0,0900
1,Aurinkotuulenkatu 5,0,0905
1,Solvikinkatu 6,0,0905
1,Solvikinkatu 6,0,2301 0900
1,Kahvipavunkuja 2,0,1100
1,Sokeritori (tori tai aukio) 0,0,0400
1,Sokeritori (tori tai aukio) 0,0,0401
1,Sokeritori (tori tai aukio) 0,0,0401
1,Sokeritori (tori tai aukio) 0,0,0401
1,Sokeritori (tori tai aukio) 0,0,0401
1,Kahvikuja 3,0,0401
1,Kahvikuja 3,0,0401
1,Jauhajankuja 2,0,1100 2200
1,Jauhajankuja 2,0,1100
1,Leikosaarentie 34,0,1501
1,Kahvipavunkuja 4,0,1100
1,Aurinkotuulenkatu 8,0,0905
1,Aurinkotuulenkatu 6,0,0905
1,Aurinkotuulenkatu 1,0,2301
1,Aurinkotuulenkatu 1,0,0905
1,Aurinkotuulenkatu 1,1,0905
1,Hellekuja 2,0,2301
1,Aurinkotuulenkatu 11,0,0905
1,Aurinkotuulenkatu 17,0,2301
1,Sumukuja 1,0,0401
1,Kahvipavunkuja 4,0,1100
1,Jauhajankuja 2,0,1100
5,Leikosaarenkuja 1,0,1501
5,Vedenottamontie 12,0,0401
5,Havukuja 3,0,0401
5,Pohjavedenkuja 5,0,0401
5,Iiluodontie 6,1,1504
5,Vedenottamontie 8,0,0401
5,Vedenottamontie 8,0,0401
5,Leikosaarenkuja 3,0,0900
5,Leikosaarenkuja 2,0,0905
5,Leikosaarenkuja 4,0,0400
5,Vedenottamontie 12,0,0401
5,Hiekkajaalanranta 5,0,2301
5,Hiekkajaalanranta 5,0,0905
5,Kalkkihiekantie 10,0,0905
5,Kalkkihiekantie 10,0,0905
5,Kalkkihiekantie 10,0,0905
5,Hiekkajaalanranta 1,0,2301
5,Vedenottamontie 8,0,0401
5,Vedenottamontie 12,0,2001
5,Vedenottamontie 8,0,0401
5,Leikosaarenkuja 7,0,0905
5,Leikosaarenkuja 7,0,0905
5,Hiekkalaiturintie 17,0,1500
5,Vedenottamontie 12,0,0401
5,Iiluodontie 6,0,1504
5,Hiekkajaalanranta 1,0,0905
5,Vedenottamontie 14,0,0400
5,Vedenottamontie 8,0,0400
5,Vedenottamontie 12,0,0400
5,Vedenottamontie 10,0,0400
5,Vedenottamontie 10,0,0400
5,Vedenottamontie 8,0,0400
5,Vedenottamontie 8,0,2001
5,Iiluodontie 6,0,1501
5,Vedenottamontie 9,0,0401
5,Vedenottamontie 10,0,0401
5,Vedenottamontie 9,0,0401
5,Vedenottamontie 12,0,0401
5,Vedenottamontie 12,0,0401
5,Iiluodontie 6,0,1504
5,Ullaksenpuisto 0,0,1700
5,Hiekkajaalanranta 5,0,0905
5,Leikosaarenkuja 4,0,0400
5,Vedenottamontie 12,0,0400
5,Iiluodontie 6,0,1504
5,Pohjavedenkuja 5,0,0401
5,Pohjavedenkatu 2,0,0401
5,Kaivonkatsojantie 16,0,1503
5,Vedenottamontie 14,0,0401
5,Vedenottamontie 8,1,0401 2001
5,Kalkkihiekantie 3,0,1502
5,Vedenottamontie 13,0,1501
5,Leikosaarenkuja 4,0,0401
5,Havukuja 4,0,1501
5,Pohjavedenkatu 2,0,0401
5,Havukuja 1,0,1501
5,Havukuja 2,0,1501
5,Havukuja 2,0,1501
5,Vedenottamontie 12,0,0401
5,Vedenottamontie 12,0,0401
5,Vedenottamontie 12,0,0401
5,Vedenottamontie 12,1,0401
5,Vedenottamontie 10,0,0400
5,Vedenottamontie 10,0,0400
5,Vedenottamontie 8,0,0400
4,Mustankivenkatu 2,0,0905
4,Kalkkihiekantie 1,0,0900
4,Kalkkihiekantie 1,0,0905
4,Kalkkihiekantie 3,0,2303
4,Kalkkihiekantie 10,0,0900
4,Kalkkihiekantie 10,0,0905
4,Kalkkihiekantie 10,0,0900
4,Hiekkajaalanranta 5,0,0905
4,Hiekkajaalanranta 5,0,0900
4,Hiekkajaalanranta 5,0,0905
4,Hiekkajaalanranta 5,0,0900
4,Hiekkajaalanranta 5,0,0900
4,Hiekkajaalanranta 3,0,0905
4,Hiekkalaiturintie 17,0,0900
4,Hiekkalaiturintie 13,0,0905
4,Hiekkalaiturintie 9,0,0900
4,Kalkkihiekantori (tori tai aukio) 0,0,1600
4,Kalkkihiekantie 3,0,1503
4,Pohjavedenkatu 2,1,0401 2200
4,Kaivonkatsojantie 3,0,0905
4,Vedenottamontie 12,0,0400
4,Vedenottamontie 12,0,0401
4,Vedenottamontie 8,1,1501
4,Kalkkihiekantori (tori tai aukio) 0 ,0,1700
4,Iiluodontie 6,0,1504
4,Iiluodontie 6,0,1504
4,Iiluodontie 6,0,1504
4,Kalkkihiekantie 3,0,1505
4,Vedenottamontie 12,0,0400
4,Leikosaarenraitti 0,0,1503
4,Vedenottamontie 12,0,0401
4,Vedenottamontie 9,0,0401
4,Vedenottamontie 8,0,0401
4,Hiekkajaalanranta 5,0,2301
4,Hiekkajaalanranta 5,0,0905
4,Hiekkajaalanranta 1,0,2301
4,Kalkkihiekantie 1,0,1500
4,Vedenottamonpolku 2,0,1503
4,Vedenottamontie 14,1,0400
4,Vedenottamontie 12,0,0401
4,Vedenottamontie 10,0,0400
4,Kalkkihiekantori (tori tai aukio) 0 ,0,1700
4,Kalkkihiekantie 1,0,1500
4,Kalkkihiekantie 3,0,2301
4,Hiekkajaalanranta 2,0,0905
4,Havukuja 2,0,1500
4,Havukuja 2,0,0905
4,Havukuja 2,0,0905
4,Kaivonkatsojantie 11,0,1500
4,Havukuja 1,0,0905
4,Havukuja 1,0,0905
4,Hiekkalaiturintie 3,0,1501
4,Hiekkalaiturintie 7,0,2301
4,Hiekkalaiturintie 17,0,0905
4,Hiekkajaalanranta 3,0,0905
4,Hiekkajaalanranta 3,0,0905
4,Hiekkajaalanranta 5,0,0905
4,Kalkkihiekantie 10,0,0905
4,Hiekkalaiturintie 4,0,0905
4,Kalkkihiekantie 1,0,1500
4,Kaivonkatsojantie 13,0,1500
4,Hiekkalaiturinraitti 10,0,1501
4,Havukuja 2,0,1501
4,Kalkkihiekantie 10,0,0905
4,Leikosaarenkuja 1,0,0905
4,Pohjavedenkatu 3,0,0905
4,Pohjavedenkatu 6,0,0905
4,Pohjavedenkatu 3,0,0905
4,Pohjavedenkatu 3,0,0905
4,Havukuja 1,0,1501
4,Iiluodontie 6,0,0400 1501
4,Iiluodontie 6,0,0400 1501
4,Hiekkajaalanranta 5,0,2705
4,Kalkkihiekantie 3,0,1502
4,Havukuja 2,0,1501
4,Vedenottamontie 12,0,0401
4,Kaivonkatsojanpuisto 0,0,0400
4,Kalkkihiekantie 3,0,1505
4,Vedenottamontie 12,0,0400
4,Vedenottamontie 12,0,0401
4,Vedenottamontie 12,0,0401
4,Pohjavedenkuja 5,0,0401
4,Leikosaarentie 15,0,0400
4,Leikosaarenkuja 2,0,0905
4,Leikosaarenkuja 2,0,0905
4,Leikosaarenkuja 2,0,0905
4,Leikosaarenkuja 7,0,1500
4,Leikosaarenkuja 7,0,0905
4,Leikosaarenkuja 7,0,1500
4,Vedenottamontie 12,0,0401
4,Vedenottamontie 12,0,0401
4,Vedenottamontie 12,0,0401
4,Hiekkajaalanranta 5,0,0905
4,Iiluodontie 6,0,1504
4,Vedenottamontie 12,0,0400
4,Pohjavedenportti 2,0,0905
4,Pohjavedenportti 2,0,0905
