month,is_warning,reason,occurrence,year,lat,lng
1,0,0100,3,2019,60.1566047,24.9501427
1,0,0100,1,2019,60.1570025,24.9299811
1,0,0100,2,2019,60.1585755,24.9377183
1,0,0100,1,2019,60.1594368,24.8815845
1,0,0100,1,2019,60.1633069,24.9349305
1,0,0100,1,2019,60.1642200,24.9375852
1,0,0100,1,2019,60.1658625,24.9479532
1,0,0100,1,2019,60.1676535,24.9326979
1,0,0100,1,2019,60.1679388,24.9484937
1,0,0100,1,2019,60.1688056,24.9451075
1,0,0100,1,2019,60.1691095,24.9291729
1,0,0100,3,2019,60.1691567,24.9332274
1,0,0100,1,2019,60.1692970,24.9381899
1,0,0100,1,2019,60.1708542,24.9277128
1,0,0100,1,2019,60.1715689,24.9454892
1,0,0100,1,2019,60.1753654,24.9122484
1,0,0100,1,2019,60.1758589,24.9185748
1,0,0100,1,2019,60.1762562,24.9304833
1,0,0100,1,2019,60.1786142,24.9538380
1,0,0100,1,2019,60.1800717,24.9222100
1,0,0100,1,2019,60.1950552,24.9551589
1,0,0100,1,2019,60.1966013,24.8955361
1,0,0100,1,2019,60.1982613,24.9391326
1,0,0100,2,2019,60.2106764,25.0786672
1,0,0100,2,2019,60.2159514,24.8888183
1,0,0100,2,2019,60.2338594,25.0113831
1,0,0100,3,2019,60.2393901,24.8753937
1,0,0100,5,2019,60.2519325,25.0106193
1,0,0100,1,2019,60.4916278,22.2900212
1,0,0100,1,2019,60.8005254,21.4339599
1,0,0100,2,2019,60.9948475,24.4650437
1,0,0100,2,2019,61.4577040,23.8453938
1,0,0100 0300,1,2019,60.1952864,25.0306034
1,0,0100 1501,1,2019,60.1868304,24.9577739
1,0,0100 2001,1,2019,60.1942608,25.0340127
1,0,0101,3,2019,60.1566047,24.9501427
1,0,0101,4,2019,60.1568952,24.9299995
1,0,0101,6,2019,60.1570025,24.9299811
1,0,0101,5,2019,60.1585755,24.9377183
1,0,0101,4,2019,60.1592584,24.9211541
1,0,0101,1,2019,60.1597483,24.9394675
1,0,0101,2,2019,60.1598825,24.8838473
1,0,0101,2,2019,60.1600040,24.9400349
1,0,0101,1,2019,60.1600901,24.9395022
1,0,0101,1,2019,60.1609646,24.9476028
1,0,0101,1,2019,60.1611069,24.9445894
1,0,0101,2,2019,60.1626965,24.9547901
1,0,0101,1,2019,60.1627582,24.9467050
1,0,0101,2,2019,60.1628360,24.9350820
1,0,0101,3,2019,60.1629322,24.9354623
1,0,0101,2,2019,60.1633069,24.9349305
1,0,0101,1,2019,60.1636505,24.9304003
1,0,0101,1,2019,60.1637008,24.9355562
1,0,0101,6,2019,60.1637799,24.9344120
1,0,0101,2,2019,60.1638494,24.9309702
1,0,0101,1,2019,60.1640624,24.9524931
1,0,0101,1,2019,60.1647300,24.9302221
1,0,0101,1,2019,60.1649089,24.9391969
1,0,0101,2,2019,60.1652702,24.9275124
1,0,0101,3,2019,60.1652898,24.9389139
1,0,0101,1,2019,60.1653232,24.9524175
1,0,0101,1,2019,60.1654888,24.9310373
1,0,0101,1,2019,60.1655152,24.9357481
1,0,0101,2,2019,60.1655734,24.9365439
1,0,0101,2,2019,60.1659060,24.9307792
1,0,0101,3,2019,60.1667293,24.9295164
1,0,0101,2,2019,60.1667344,24.9408130
1,0,0101,2,2019,60.1669435,24.9277091
1,0,0101,1,2019,60.1669919,24.9478338
1,0,0101,1,2019,60.1670494,24.9509923
1,0,0101,9,2019,60.1676535,24.9326979
1,0,0101,4,2019,60.1678374,24.9346269
1,0,0101,1,2019,60.1678462,24.9304095
1,0,0101,2,2019,60.1680315,24.9454584
1,0,0101,1,2019,60.1680420,24.9458179
1,0,0101,2,2019,60.1682362,24.9356527
1,0,0101,9,2019,60.1683055,24.9406312
1,0,0101,1,2019,60.1686583,24.9443923
1,0,0101,1,2019,60.1687657,24.9459469
1,0,0101,1,2019,60.1688716,24.9280315
1,0,0101,1,2019,60.1691095,24.9291729
1,0,0101,1,2019,60.1701380,24.9423039
1,0,0101,1,2019,60.1701610,24.9259883
1,0,0101,2,2019,60.1714062,24.9195491
